gameid,date,type,playerid,player,team,home,away,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,win,season
22000902,2021-04-23,regular,201566,Russell Westbrook,WAS,OKC,WAS,37,37,14,23,60.9,3,4,75.0,6,7,85.7,1,10,11,11,0,0,3,5,16,1,2021
22000919,2021-04-26,regular,201566,Russell Westbrook,WAS,WAS,SAS,42,22,9,26,34.6,0,3,0.0,4,4,100.0,4,9,13,14,1,1,6,4,-11,0,2021
22000935,2021-04-28,regular,201566,Russell Westbrook,WAS,WAS,LAL,41,18,7,16,43.8,1,3,33.3,3,4,75.0,2,16,18,14,2,0,2,3,12,1,2021
22000940,2021-04-28,regular,1628366,Lonzo Ball,NOP,DEN,NOP,36,16,6,14,42.9,4,9,44.4,0,0,0.0,1,11,12,12,4,2,4,1,1,0,2021
22000951,2021-04-30,regular,201566,Russell Westbrook,WAS,CLE,WAS,31,15,5,12,41.7,0,1,0.0,5,5,100.0,2,10,12,11,1,0,3,1,15,1,2021
22000963,2021-05-01,regular,1627734,Domantas Sabonis,IND,OKC,IND,30,26,10,13,76.9,2,3,66.7,4,6,66.7,0,19,19,14,1,0,5,2,49,1,2021
22000964,2021-05-01,regular,1629029,Luka Doncic,DAL,DAL,WAS,39,31,12,23,52.2,1,6,16.7,6,11,54.5,2,10,12,20,0,0,1,4,6,1,2021
22000976,2021-05-03,regular,201566,Russell Westbrook,WAS,WAS,IND,39,14,5,8,62.5,0,0,0.0,4,4,100.0,4,17,21,24,1,1,6,3,21,1,2021
22000235,2021-05-05,regular,201566,Russell Westbrook,WAS,MIL,WAS,40,29,12,20,60.0,0,2,0.0,5,8,62.5,0,12,12,17,3,1,2,3,2,0,2021
22000997,2021-05-06,regular,201566,Russell Westbrook,WAS,TOR,WAS,44,13,5,19,26.3,1,6,16.7,2,4,50.0,1,16,17,17,1,0,7,6,8,1,2021
22001012,2021-05-08,regular,1627734,Domantas Sabonis,IND,IND,WAS,43,30,12,21,57.1,0,3,0.0,6,7,85.7,1,12,13,13,3,0,4,4,-3,0,2021
22001012,2021-05-08,regular,201566,Russell Westbrook,WAS,IND,WAS,44,33,11,26,42.3,3,7,42.9,8,9,88.9,4,15,19,15,1,2,7,4,4,1,2021
22001026,2021-05-10,regular,201566,Russell Westbrook,WAS,ATL,WAS,40,28,10,22,45.5,3,7,42.9,5,5,100.0,0,13,13,21,0,0,3,4,-1,0,2021
22001035,2021-05-11,regular,1627734,Domantas Sabonis,IND,IND,PHI,40,16,7,9,77.8,2,2,100.0,0,0,0.0,1,12,13,15,0,0,2,2,16,1,2021
22001054,2021-05-14,regular,203999,Nikola Jokic,DEN,DET,DEN,26,20,7,11,63.6,0,0,0.0,6,7,85.7,3,12,15,11,0,0,1,2,18,1,2021
22000204,2021-05-14,regular,201566,Russell Westbrook,WAS,WAS,CLE,40,21,7,18,38.9,1,5,20.0,6,8,75.0,0,12,12,17,3,0,1,2,20,1,2021
22001064,2021-05-15,regular,203944,Julius Randle,NYK,NYK,CHA,46,33,12,25,48.0,4,10,40.0,5,8,62.5,0,11,11,13,1,0,4,4,10,1,2021
22100021,2021-10-22,regular,201142,Kevin Durant,BKN,PHI,BKN,37,29,9,20,45.0,1,6,16.7,10,10,100.0,3,12,15,12,1,1,2,1,11,1,2022
22100053,2021-10-26,regular,1627749,Dejounte Murray,SAS,SAS,LAL,40,21,9,24,37.5,2,4,50.0,1,4,25.0,2,10,12,15,2,2,2,3,9,0,2022
22100061,2021-10-27,regular,201566,Russell Westbrook,LAL,OKC,LAL,35,20,8,20,40.0,2,8,25.0,2,3,66.7,4,10,14,13,1,0,10,4,-12,0,2022
22100154,2021-11-08,regular,201566,Russell Westbrook,LAL,LAL,CHA,41,17,5,15,33.3,0,2,0.0,7,10,70.0,0,12,12,14,3,0,7,3,-17,1,2022
22100154,2021-11-08,regular,1630163,LaMelo Ball,CHA,LAL,CHA,42,25,8,19,42.1,3,8,37.5,6,6,100.0,3,13,16,11,1,1,3,2,6,0,2022
22100170,2021-11-10,regular,201566,Russell Westbrook,LAL,LAL,MIA,43,25,10,22,45.5,3,7,42.9,2,2,100.0,1,11,12,14,1,2,8,5,10,1,2022
22100159,2021-11-10,regular,201935,James Harden,BKN,ORL,BKN,30,17,6,11,54.5,1,4,25.0,4,5,80.0,1,10,11,11,2,0,6,1,16,1,2022
22100181,2021-11-12,regular,1629029,Luka Doncic,DAL,SAS,DAL,36,32,11,23,47.8,6,13,46.2,4,8,50.0,0,12,12,15,2,0,2,2,6,1,2022
22100297,2021-11-27,regular,1630163,LaMelo Ball,CHA,HOU,CHA,40,19,7,19,36.8,2,6,33.3,3,3,100.0,4,7,11,13,1,0,2,5,-14,0,2022
22100294,2021-11-27,regular,201935,James Harden,BKN,BKN,PHX,40,12,4,15,26.7,0,6,0.0,4,4,100.0,2,11,13,14,1,2,7,3,-8,0,2022
22100357,2021-12-06,regular,203999,Nikola Jokic,DEN,CHI,DEN,36,17,6,17,35.3,1,5,20.0,4,6,66.7,1,11,12,15,2,0,3,2,7,0,2022
22100375,2021-12-08,regular,203999,Nikola Jokic,DEN,NOP,DEN,37,39,17,23,73.9,0,3,0.0,5,9,55.6,1,10,11,11,1,0,6,2,4,1,2022
22100413,2021-12-14,regular,201142,Kevin Durant,BKN,BKN,TOR,48,34,12,29,41.4,2,8,25.0,8,8,100.0,1,12,13,11,0,1,4,1,-5,1,2022
22100437,2021-12-17,regular,1627749,Dejounte Murray,SAS,UTA,SAS,37,16,6,16,37.5,1,6,16.7,3,6,50.0,4,7,11,11,2,1,2,1,10,1,2022
22100463,2021-12-20,regular,1627749,Dejounte Murray,SAS,LAC,SAS,31,24,10,22,45.5,4,6,66.7,0,0,0.0,3,8,11,13,5,0,2,2,16,1,2022
22100474,2021-12-22,regular,1628983,Shai Gilgeous-Alexander,OKC,OKC,DEN,37,27,10,24,41.7,0,7,0.0,7,7,100.0,1,10,11,12,1,1,1,4,19,1,2022
22100491,2021-12-25,regular,201566,Russell Westbrook,LAL,LAL,BKN,37,13,4,20,20.0,0,3,0.0,5,6,83.3,5,7,12,11,1,0,3,5,-23,0,2022
22100538,2021-12-31,regular,201566,Russell Westbrook,LAL,LAL,POR,30,15,5,10,50.0,0,3,0.0,5,6,83.3,0,13,13,12,2,0,4,2,29,1,2022
22100542,2022-01-01,regular,201935,James Harden,BKN,BKN,LAC,40,34,9,22,40.9,3,11,27.3,13,15,86.7,2,10,12,13,1,0,4,3,-9,0,2022
